Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
0,000	-9,821E-4	6,754
0,050	-0,002	6,754
0,100	-7,281E-4	6,754
0,150	-0,002	6,754
0,200	-0,001	6,754
0,250	-0,002	6,754
0,300	-8,331E-4	6,754
0,350	-0,002	6,754
0,400	-6,989E-4	6,754
0,450	-0,002	6,754
0,500	-0,001	6,754
0,550	-0,002	6,755
0,600	-0,001	6,754
0,650	-0,002	6,754
0,700	-0,001	6,754
0,750	-0,002	6,754
0,800	-0,001	6,754
0,850	-0,002	6,754
0,900	-0,001	6,754
0,950	-0,002	6,754
1,000	-0,001	6,754
1,050	-0,002	6,754
1,100	-0,001	6,754
1,150	-0,002	6,754
1,200	-0,001	6,754
1,250	-0,002	6,754
1,300	-0,001	6,754
1,350	-0,002	6,754
1,400	-0,001	6,754
1,450	-0,002	6,754
1,500	-0,001	6,754
1,550	-0,002	6,754
1,600	-0,001	6,754
1,650	-0,002	6,754
1,700	-0,001	6,754
1,750	-0,002	6,754
1,800	-0,002	6,754
1,850	-0,002	6,754
1,900	-0,002	6,754
1,950	-0,002	6,754
2,000	-0,002	6,754
2,050	-0,002	6,754
2,100	-0,002	6,754
2,150	-0,002	6,754
2,200	-0,002	6,754
2,250	-0,002	6,754
2,300	-0,001	6,754
2,350	-0,002	6,754
2,400	-0,002	6,754
2,450	-0,002	6,754
2,500	-0,002	6,754
2,550	-0,002	6,754
2,600	-0,002	6,754
2,650	-0,002	6,754
2,700	-0,002	6,754
2,750	-0,002	6,754
2,800	-0,001	6,754
2,850	-0,002	6,754
2,900	-0,002	6,754
2,950	-0,002	6,754
3,000	-0,002	6,754
3,050	-0,002	6,754
3,100	-0,002	6,754
3,150	-0,002	6,754
3,200	-0,002	6,755
3,250	-0,002	6,754
3,300	-0,002	6,755
3,350	-0,003	6,754
3,400	-0,002	6,754
3,450	-0,002	6,754
3,500	-0,002	6,754
3,550	-0,003	6,754
3,600	-0,002	6,755
3,650	-0,003	6,754
3,700	-0,002	6,755
3,750	-0,002	6,753
3,800	-0,002	6,746
3,850	-0,002	6,734
3,900	-0,002	6,711
3,950	-0,002	6,695
4,000	-0,002	6,676
4,050	-0,003	6,660
4,100	-0,002	6,631
4,150	-0,003	6,606
4,200	-0,002	6,591
4,250	-0,003	6,571
4,300	-0,002	6,563
4,350	-0,003	6,554
4,400	-0,002	6,535
4,450	-0,003	6,512
4,500	-0,003	6,498
4,550	-0,003	6,489
4,600	-0,003	6,479
4,650	-0,003	6,470
4,700	-0,002	6,444
4,750	-0,003	6,413
4,800	-0,003	6,393
4,850	-0,003	6,377
4,900	-0,003	6,364
4,950	-0,003	6,355
5,000	-0,003	6,336
5,050	-0,003	6,317
5,100	-0,003	6,311
5,150	-0,003	6,310
5,200	-0,003	6,310
5,250	-0,003	6,309
5,300	-0,003	6,309
5,350	-0,003	6,310
5,400	-0,003	6,316
5,450	-0,003	6,329
5,500	-0,003	6,327
5,550	-0,003	6,312
5,600	-0,003	6,294
5,650	-0,004	6,252
5,700	-0,004	6,201
5,750	-0,003	6,176
5,800	-0,003	6,158
5,850	-0,004	6,124
5,900	-0,003	6,097
5,950	-0,004	6,072
6,000	-0,004	6,047
6,050	-0,004	6,029
6,100	-0,004	5,999
6,150	-0,004	5,972
6,200	-0,004	5,950
6,250	-0,004	5,939
6,300	-0,004	5,924
6,350	-0,004	5,908
6,400	-0,004	5,884
6,450	-0,004	5,860
6,500	-0,004	5,842
6,550	-0,004	5,830
6,600	-0,004	5,816
6,650	-0,004	5,807
6,700	-0,004	5,807
6,750	-0,004	5,807
6,800	-0,004	5,808
6,850	-0,004	5,807
6,900	-0,004	5,809
6,950	-0,004	5,812
7,000	-0,004	5,810
7,050	-0,004	5,792
7,100	-0,004	5,733
7,150	-0,004	5,668
7,200	-0,005	5,625
7,250	-0,004	5,593
7,300	-0,004	5,564
7,350	-0,004	5,536
7,400	-0,004	5,505
7,450	-0,005	5,470
7,500	-0,005	5,442
7,550	-0,005	5,415
7,600	-0,005	5,391
7,650	-0,005	5,361
7,700	-0,005	5,334
7,750	-0,005	5,303
7,800	-0,005	5,280
7,850	-0,005	5,260
7,900	-0,005	5,234
7,950	-0,005	5,208
8,000	-0,005	5,178
8,050	-0,005	5,148
8,100	-0,005	5,139
8,150	-0,005	5,138
8,200	-0,005	5,139
8,250	-0,005	5,139
8,300	-0,005	5,139
8,350	-0,005	5,138
8,400	-0,005	5,139
8,450	-0,005	5,139
8,500	-0,005	5,122
8,550	-0,005	5,088
8,600	-0,006	5,041
8,650	-0,005	5,019
8,700	-0,006	5,002
8,750	-0,005	4,978
8,800	-0,006	4,947
8,850	-0,005	4,922
8,900	-0,006	4,906
8,950	-0,005	4,899
9,000	-0,006	4,891
9,050	-0,006	4,870
9,100	-0,006	4,825
9,150	-0,006	4,791
9,200	-0,006	4,766
9,250	-0,005	4,751
9,300	-0,006	4,747
9,350	-0,006	4,737
9,400	-0,006	4,719
9,450	-0,006	4,685
9,500	-0,006	4,661
9,550	-0,006	4,632
9,600	-0,007	4,611
9,650	-0,006	4,591
9,700	-0,007	4,583
9,750	-0,006	4,571
9,800	-0,006	4,552
9,850	-0,006	4,535
9,900	-0,007	4,518
9,950	-0,006	4,499
10,000	-0,007	4,475
10,050	-0,006	4,448
10,100	-0,007	4,429
10,150	-0,006	4,416
10,200	-0,007	4,396
10,250	-0,006	4,374
10,300	-0,007	4,350
10,350	-0,006	4,329
10,400	-0,007	4,306
10,450	-0,006	4,290
10,500	-0,007	4,277
10,550	-0,006	4,275
10,600	-0,007	4,275
10,650	-0,006	4,276
10,700	-0,007	4,277
10,750	-0,006	4,280
