"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,0.002,-0.010
0.050,0.002,-0.010
0.100,0.002,-0.010
0.150,0.002,-0.010
0.200,0.002,-0.010
0.250,0.002,-0.010
0.300,0.002,-0.010
0.350,0.002,-0.010
0.400,0.002,-0.011
0.450,0.002,-0.011
0.500,0.002,-0.011
0.550,0.002,-0.011
0.600,0.002,-0.010
0.650,0.002,-0.010
0.700,0.002,-0.009
0.750,0.002,-0.008
0.800,0.003,-0.006
0.850,0.003,-0.005
0.900,0.003,-0.002
0.950,0.003,-0.001
1.000,0.003,6.724E-4
1.050,0.003,0.003
1.100,0.003,0.005
1.150,0.004,0.007
1.200,0.004,0.010
1.250,0.004,0.012
1.300,0.004,0.015
1.350,0.004,0.017
1.400,0.004,0.020
1.450,0.004,0.023
1.500,0.005,0.026
1.550,0.005,0.029
1.600,0.005,0.032
1.650,0.005,0.035
1.700,0.005,0.039
1.750,0.005,0.042
1.800,0.006,0.046
1.850,0.006,0.049
1.900,0.006,0.054
1.950,0.006,0.057
2.000,0.006,0.061
2.050,0.007,0.066
2.100,0.007,0.071
2.150,0.007,0.074
2.200,0.008,0.079
2.250,0.008,0.084
2.300,0.008,0.089
2.350,0.009,0.093
2.400,0.009,0.098
2.450,0.009,0.102
2.500,0.009,0.106
2.550,0.010,0.110
2.600,0.010,0.114
2.650,0.011,0.118
2.700,0.011,0.123
2.750,0.012,0.126
2.800,0.012,0.131
2.850,0.013,0.134
2.900,0.013,0.137
2.950,0.014,0.141
3.000,0.014,0.144
3.050,0.015,0.147
3.100,0.015,0.150
3.150,0.016,0.153
3.200,0.016,0.155
3.250,0.016,0.157
3.300,0.017,0.160
3.350,0.018,0.162
3.400,0.018,0.165
3.450,0.019,0.168
3.500,0.019,0.169
3.550,0.019,0.170
3.600,0.020,0.172
3.650,0.020,0.173
3.700,0.020,0.174
3.750,0.020,0.174
3.800,0.020,0.175
3.850,0.021,0.176
3.900,0.021,0.177
3.950,0.021,0.177
4.000,0.022,0.179
4.050,0.022,0.179
4.100,0.022,0.181
4.150,0.022,0.181
4.200,0.022,0.181
4.250,0.023,0.182
