"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,-0.074,0.531
0.050,-0.075,0.532
0.100,-0.075,0.531
0.150,-0.075,0.532
0.200,-0.075,0.531
0.250,-0.075,0.532
0.300,-0.075,0.531
0.350,-0.075,0.532
0.400,-0.075,0.531
0.450,-0.075,0.532
0.500,-0.075,0.531
0.550,-0.075,0.532
0.600,-0.074,0.531
0.650,-0.075,0.532
0.700,-0.075,0.531
0.750,-0.075,0.532
0.800,-0.075,0.531
0.850,-0.075,0.532
0.900,-0.075,0.531
0.950,-0.075,0.532
1.000,-0.075,0.531
1.050,-0.075,0.532
1.100,-0.075,0.531
1.150,-0.075,0.531
1.200,-0.075,0.531
1.250,-0.075,0.532
1.300,-0.075,0.531
1.350,-0.075,0.532
1.400,-0.075,0.531
1.450,-0.075,0.532
1.500,-0.075,0.531
1.550,-0.075,0.532
1.600,-0.075,0.531
1.650,-0.075,0.532
1.700,-0.075,0.531
1.750,-0.075,0.532
1.800,-0.075,0.531
1.850,-0.075,0.532
1.900,-0.075,0.531
1.950,-0.075,0.532
2.000,-0.075,0.531
2.050,-0.075,0.532
2.100,-0.075,0.531
2.150,-0.075,0.532
2.200,-0.075,0.531
2.250,-0.075,0.532
2.300,-0.075,0.531
2.350,-0.075,0.532
2.400,-0.075,0.531
2.450,-0.075,0.532
2.500,-0.075,0.531
2.550,-0.075,0.532
2.600,-0.075,0.531
2.650,-0.075,0.532
2.700,-0.075,0.531
2.750,-0.074,0.532
2.800,-0.072,0.531
2.850,-0.067,0.532
2.900,-0.058,0.531
2.950,-0.041,0.532
3.000,-0.023,0.531
3.050,-0.007,0.532
3.100,0.006,0.531
3.150,0.023,0.532
3.200,0.044,0.531
3.250,0.057,0.532
3.300,0.074,0.531
3.350,0.095,0.532
3.400,0.107,0.531
3.450,0.117,0.532
3.500,0.127,0.531
3.550,0.139,0.532
3.600,0.148,0.531
3.650,0.161,0.532
3.700,0.174,0.531
3.750,0.189,0.532
3.800,0.204,0.531
3.850,0.220,0.532
3.900,0.231,0.531
3.950,0.245,0.532
4.000,0.257,0.531
4.050,0.276,0.532
4.100,0.293,0.531
4.150,0.309,0.532
4.200,0.323,0.531
4.250,0.337,0.532
4.300,0.350,0.531
4.350,0.366,0.532
4.400,0.386,0.531
4.450,0.403,0.532
4.500,0.417,0.531
4.550,0.435,0.532
4.600,0.452,0.531
4.650,0.468,0.532
4.700,0.478,0.531
4.750,0.491,0.532
4.800,0.506,0.532
4.850,0.515,0.532
4.900,0.519,0.531
4.950,0.522,0.532
5.000,0.521,0.531
5.050,0.507,0.532
5.100,0.489,0.531
5.150,0.481,0.532
5.200,0.476,0.532
5.250,0.474,0.532
5.300,0.472,0.531
5.350,0.472,0.532
5.400,0.471,0.531
5.450,0.472,0.532
5.500,0.471,0.531
5.550,0.472,0.532
5.600,0.471,0.531
5.650,0.472,0.532
5.700,0.473,0.531
5.750,0.481,0.532
5.800,0.484,0.531
5.850,0.487,0.532
5.900,0.488,0.531
5.950,0.489,0.532
6.000,0.489,0.531
6.050,0.489,0.532
6.100,0.491,0.532
6.150,0.501,0.532
6.200,0.511,0.531
6.250,0.518,0.532
6.300,0.528,0.531
6.350,0.546,0.532
6.400,0.561,0.531
6.450,0.570,0.532
6.500,0.585,0.531
6.550,0.609,0.532
6.600,0.627,0.531
6.650,0.639,0.532
6.700,0.651,0.531
6.750,0.665,0.532
6.800,0.672,0.531
6.850,0.677,0.532
6.900,0.680,0.531
6.950,0.691,0.532
7.000,0.711,0.532
7.050,0.724,0.532
7.100,0.740,0.531
7.150,0.760,0.532
7.200,0.773,0.532
7.250,0.779,0.532
7.300,0.783,0.532
7.350,0.786,0.532
7.400,0.787,0.531
7.450,0.795,0.532
7.500,0.814,0.531
7.550,0.835,0.532
7.600,0.846,0.532
7.650,0.855,0.532
7.700,0.864,0.532
7.750,0.871,0.532
7.800,0.874,0.531
7.850,0.885,0.532
7.900,0.897,0.532
7.950,0.903,0.532
8.000,0.908,0.532
8.050,0.918,0.532
8.100,0.923,0.532
8.150,0.926,0.532
8.200,0.932,0.532
8.250,0.945,0.532
8.300,0.953,0.531
8.350,0.966,0.532
8.400,0.981,0.532
8.450,0.989,0.532
8.500,0.993,0.532
8.550,0.996,0.532
8.600,0.997,0.532
8.650,1.005,0.532
8.700,1.013,0.532
8.750,1.024,0.532
8.800,1.042,0.532
8.850,1.056,0.532
8.900,1.062,0.532
8.950,1.069,0.532
9.000,1.077,0.531
9.050,1.083,0.532
9.100,1.086,0.532
9.150,1.087,0.532
9.200,1.086,0.532
9.250,1.087,0.532
9.300,1.086,0.532
9.350,1.087,0.532
9.400,1.086,0.532
9.450,1.087,0.532
9.500,1.087,0.532
9.550,1.087,0.532
9.600,1.087,0.532
9.650,1.087,0.532
9.700,1.086,0.532
9.750,1.087,0.532
9.800,1.087,0.532
9.850,1.087,0.532
9.900,1.087,0.532
9.950,1.087,0.532
10.000,1.086,0.531
10.050,1.088,0.533
10.100,1.087,0.532
10.150,1.087,0.532
10.200,1.087,0.532
10.250,1.087,0.532
10.300,1.093,0.532
10.350,1.119,0.533
10.400,1.149,0.532
10.450,1.178,0.532
10.500,1.201,0.532
10.550,1.224,0.532
10.600,1.242,0.532
10.650,1.263,0.532
10.700,1.282,0.532
10.750,1.303,0.532
10.800,1.325,0.532
10.850,1.348,0.532
10.900,1.374,0.532
10.950,1.396,0.532
11.000,1.413,0.532
11.050,1.434,0.533
11.100,1.455,0.532
11.150,1.473,0.532
11.200,1.484,0.532
11.250,1.503,0.533
11.300,1.522,0.532
11.350,1.533,0.532
11.400,1.543,0.532
11.450,1.557,0.532
11.500,1.571,0.532
11.550,1.584,0.533
11.600,1.596,0.532
11.650,1.605,0.532
11.700,1.610,0.532
11.750,1.619,0.532
11.800,1.634,0.532
11.850,1.651,0.532
11.900,1.659,0.532
11.950,1.665,0.533
12.000,1.672,0.532
12.050,1.683,0.533
12.100,1.695,0.532
12.150,1.708,0.533
12.200,1.714,0.532
12.250,1.718,0.532
12.300,1.722,0.532
12.350,1.732,0.533
12.400,1.743,0.532
12.450,1.757,0.533
12.500,1.767,0.532
12.550,1.781,0.533
12.600,1.794,0.532
12.650,1.804,0.533
12.700,1.814,0.532
12.750,1.828,0.533
12.800,1.841,0.532
12.850,1.860,0.533
12.900,1.878,0.532
12.950,1.889,0.533
13.000,1.894,0.533
13.050,1.906,0.533
13.100,1.926,0.533
13.150,1.939,0.533
13.200,1.945,0.533
13.250,1.951,0.533
13.300,1.960,0.533
13.350,1.967,0.533
13.400,1.979,0.533
13.450,1.992,0.533
13.500,1.998,0.533
13.550,2.002,0.533
13.600,2.003,0.533
13.650,2.004,0.533
13.700,2.004,0.533
13.750,2.004,0.533
13.800,2.005,0.533
13.850,2.005,0.533
13.900,2.004,0.533
13.950,2.005,0.533
14.000,2.005,0.533
14.050,2.005,0.533
14.100,2.005,0.533
14.150,2.005,0.533
14.200,2.005,0.533
14.250,2.005,0.533
14.300,2.006,0.533
14.350,2.017,0.533
14.400,2.036,0.533
14.450,2.059,0.533
14.500,2.084,0.532
14.550,2.113,0.533
14.600,2.143,0.533
14.650,2.173,0.533
14.700,2.202,0.533
14.750,2.225,0.533
