"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,0.002,0.005
0.050,0.002,0.005
0.100,0.002,0.005
0.150,0.002,0.005
0.200,0.002,0.005
0.250,0.002,0.005
0.300,0.002,0.005
0.350,0.002,0.005
0.400,0.002,0.005
0.450,0.002,0.004
0.500,0.002,0.005
0.550,0.002,0.005
0.600,0.002,0.005
0.650,0.002,0.005
0.700,0.002,0.005
0.750,0.002,0.005
0.800,0.003,0.005
0.850,0.003,0.005
0.900,0.004,0.005
0.950,0.006,0.005
1.000,0.008,0.006
1.050,0.011,0.006
1.100,0.014,0.008
1.150,0.019,0.008
1.200,0.022,0.010
1.250,0.024,0.010
1.300,0.026,0.012
1.350,0.027,0.012
1.400,0.028,0.013
1.450,0.028,0.012
1.500,0.029,0.013
1.550,0.029,0.013
1.600,0.030,0.013
1.650,0.032,0.013
1.700,0.035,0.015
1.750,0.038,0.016
1.800,0.041,0.018
1.850,0.043,0.018
1.900,0.045,0.020
1.950,0.047,0.020
2.000,0.048,0.021
2.050,0.049,0.021
2.100,0.050,0.022
2.150,0.051,0.022
2.200,0.054,0.024
2.250,0.058,0.025
2.300,0.062,0.028
2.350,0.066,0.029
2.400,0.069,0.031
2.450,0.071,0.032
2.500,0.072,0.034
2.550,0.074,0.034
2.600,0.075,0.035
2.650,0.076,0.036
2.700,0.078,0.037
2.750,0.085,0.039
2.800,0.095,0.044
2.850,0.104,0.049
2.900,0.110,0.054
2.950,0.115,0.057
3.000,0.118,0.061
3.050,0.122,0.063
3.100,0.129,0.067
3.150,0.134,0.070
3.200,0.138,0.074
3.250,0.141,0.076
3.300,0.143,0.078
3.350,0.146,0.079
3.400,0.152,0.083
3.450,0.159,0.086
3.500,0.164,0.090
3.550,0.167,0.092
3.600,0.170,0.095
3.650,0.173,0.097
3.700,0.179,0.100
3.750,0.187,0.103
3.800,0.194,0.108
3.850,0.199,0.112
3.900,0.203,0.115
3.950,0.207,0.117
4.000,0.213,0.121
4.050,0.223,0.125
4.100,0.229,0.129
4.150,0.234,0.132
4.200,0.238,0.136
4.250,0.241,0.137
