"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
30.050,6.420,0.041
30.100,6.438,0.040
30.150,6.465,0.041
30.200,6.487,0.041
30.250,6.500,0.041
30.300,6.512,0.041
30.350,6.528,0.041
30.400,6.546,0.041
30.450,6.561,0.041
30.500,6.580,0.041
30.550,6.598,0.042
30.600,6.619,0.041
30.650,6.638,0.042
30.700,6.647,0.041
30.750,6.653,0.042
30.800,6.655,0.041
30.850,6.664,0.042
30.900,6.682,0.041
30.950,6.712,0.042
31.000,6.737,0.041
31.050,6.753,0.042
31.100,6.759,0.041
31.150,6.764,0.042
31.200,6.766,0.042
31.250,6.773,0.042
31.300,6.779,0.041
31.350,6.787,0.042
31.400,6.796,0.041
31.450,6.809,0.042
31.500,6.816,0.042
31.550,6.820,0.042
31.600,6.827,0.041
31.650,6.834,0.042
31.700,6.837,0.042
31.750,6.840,0.042
31.800,6.840,0.041
31.850,6.842,0.042
31.900,6.841,0.042
31.950,6.842,0.042
32.000,6.841,0.042
32.050,6.842,0.042
32.100,6.841,0.041
32.150,6.834,0.042
32.200,6.822,0.042
32.250,6.815,0.042
32.300,6.811,0.042
32.350,6.809,0.042
32.400,6.808,0.042
32.450,6.808,0.042
32.500,6.806,0.042
32.550,6.806,0.043
32.600,6.803,0.041
32.650,6.797,0.042
32.700,6.784,0.041
32.750,6.765,0.042
32.800,6.741,0.042
32.850,6.721,0.042
32.900,6.708,0.042
32.950,6.696,0.042
33.000,6.688,0.042
33.050,6.684,0.042
33.100,6.681,0.041
33.150,6.674,0.042
33.200,6.667,0.041
33.250,6.660,0.042
33.300,6.647,0.042
33.350,6.630,0.042
33.400,6.616,0.042
33.450,6.602,0.042
33.500,6.587,0.042
33.550,6.579,0.042
33.600,6.568,0.041
33.650,6.559,0.042
33.700,6.545,0.042
33.750,6.531,0.042
33.800,6.516,0.042
33.850,6.508,0.042
33.900,6.501,0.041
33.950,6.492,0.042
34.000,6.484,0.041
34.050,6.475,0.042
34.100,6.468,0.041
34.150,6.466,0.042
34.200,6.464,0.042
34.250,6.459,0.042
34.300,6.443,0.041
34.350,6.421,0.042
34.400,6.405,0.042
34.450,6.393,0.042
34.500,6.377,0.041
34.550,6.366,0.042
34.600,6.359,0.041
34.650,6.357,0.042
34.700,6.355,0.041
34.750,6.351,0.042
34.800,6.341,0.041
34.850,6.329,0.042
34.900,6.308,0.041
34.950,6.286,0.042
35.000,6.266,0.041
35.050,6.255,0.042
35.100,6.249,0.042
35.150,6.239,0.042
35.200,6.229,0.041
35.250,6.217,0.042
35.300,6.204,0.041
