"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,0.118,0.263
0.050,0.118,0.264
0.100,0.118,0.263
0.150,0.118,0.264
0.200,0.118,0.264
0.250,0.118,0.264
0.300,0.118,0.264
0.350,0.118,0.264
0.400,0.118,0.263
0.450,0.118,0.264
0.500,0.119,0.264
0.550,0.119,0.264
0.600,0.120,0.264
0.650,0.121,0.265
0.700,0.121,0.264
0.750,0.122,0.265
0.800,0.122,0.264
0.850,0.122,0.265
0.900,0.123,0.264
0.950,0.124,0.265
1.000,0.125,0.265
1.050,0.126,0.266
1.100,0.127,0.265
1.150,0.129,0.266
1.200,0.131,0.266
1.250,0.133,0.267
1.300,0.133,0.266
1.350,0.134,0.267
1.400,0.135,0.267
1.450,0.136,0.268
1.500,0.136,0.267
1.550,0.137,0.268
1.600,0.139,0.268
1.650,0.140,0.269
1.700,0.142,0.268
1.750,0.144,0.270
1.800,0.146,0.269
1.850,0.148,0.271
1.900,0.149,0.270
1.950,0.150,0.271
2.000,0.151,0.270
2.050,0.152,0.272
2.100,0.153,0.271
2.150,0.154,0.272
2.200,0.155,0.272
2.250,0.156,0.273
2.300,0.157,0.272
2.350,0.157,0.273
2.400,0.157,0.272
2.450,0.157,0.273
2.500,0.157,0.272
2.550,0.157,0.273
2.600,0.157,0.272
2.650,0.157,0.273
2.700,0.157,0.272
2.750,0.157,0.273
2.800,0.158,0.273
2.850,0.159,0.274
2.900,0.160,0.273
2.950,0.161,0.274
3.000,0.161,0.273
3.050,0.163,0.275
3.100,0.165,0.275
3.150,0.166,0.276
3.200,0.167,0.275
3.250,0.168,0.276
3.300,0.169,0.276
3.350,0.171,0.277
3.400,0.172,0.277
3.450,0.173,0.278
3.500,0.173,0.277
3.550,0.175,0.279
3.600,0.176,0.278
3.650,0.177,0.279
3.700,0.179,0.279
3.750,0.180,0.280
3.800,0.181,0.280
3.850,0.183,0.281
3.900,0.184,0.281
3.950,0.186,0.282
4.000,0.188,0.282
4.050,0.189,0.283
4.100,0.191,0.283
4.150,0.193,0.284
4.200,0.194,0.284
4.250,0.195,0.286
4.300,0.196,0.285
4.350,0.197,0.286
4.400,0.198,0.286
4.450,0.199,0.287
4.500,0.199,0.286
4.550,0.200,0.287
4.600,0.200,0.287
4.650,0.200,0.287
4.700,0.200,0.287
4.750,0.201,0.287
4.800,0.201,0.287
4.850,0.202,0.288
4.900,0.203,0.287
4.950,0.205,0.289
5.000,0.206,0.289
5.050,0.207,0.289
5.100,0.208,0.289
