"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,0.002,0.025
0.050,0.002,0.025
0.100,0.002,0.025
0.150,0.002,0.025
0.200,0.002,0.025
0.250,0.002,0.025
0.300,0.002,0.025
0.350,0.002,0.025
0.400,0.002,0.025
0.450,0.002,0.025
0.500,0.001,0.024
0.550,0.001,0.025
0.600,0.002,0.025
0.650,0.002,0.025
0.700,0.002,0.025
0.750,0.002,0.025
0.800,0.002,0.025
0.850,0.002,0.025
0.900,0.002,0.025
0.950,0.002,0.025
1.000,0.002,0.025
1.050,0.002,0.025
1.100,0.002,0.025
1.150,0.002,0.025
1.200,0.002,0.025
1.250,0.002,0.025
1.300,0.002,0.025
1.350,0.002,0.025
1.400,0.002,0.025
1.450,0.002,0.025
1.500,0.002,0.025
1.550,0.002,0.025
1.600,0.002,0.025
1.650,0.002,0.025
1.700,0.002,0.025
1.750,0.002,0.025
1.800,0.002,0.025
1.850,0.002,0.025
1.900,0.002,0.025
1.950,0.002,0.025
2.000,0.002,0.025
2.050,0.002,0.025
2.100,0.002,0.025
2.150,0.002,0.025
2.200,0.002,0.025
2.250,0.002,0.025
2.300,0.002,0.025
2.350,0.002,0.025
2.400,0.002,0.025
2.450,0.002,0.025
2.500,0.002,0.025
2.550,0.002,0.025
2.600,0.002,0.025
2.650,0.002,0.025
2.700,0.002,0.025
2.750,0.002,0.025
2.800,0.002,0.025
2.850,0.002,0.025
2.900,0.002,0.025
2.950,0.002,0.025
3.000,0.002,0.025
3.050,0.002,0.025
3.100,0.002,0.025
3.150,0.002,0.025
3.200,0.002,0.025
3.250,0.002,0.025
3.300,0.002,0.025
3.350,0.002,0.025
3.400,0.002,0.025
3.450,0.002,0.025
3.500,0.002,0.025
3.550,0.002,0.025
3.600,0.002,0.025
3.650,0.002,0.025
3.700,0.002,0.025
3.750,0.002,0.025
3.800,0.002,0.025
3.850,0.002,0.025
3.900,0.002,0.025
3.950,0.002,0.025
4.000,0.002,0.025
4.050,0.002,0.025
4.100,0.002,0.025
4.150,0.002,0.025
4.200,0.002,0.025
4.250,0.002,0.025
4.300,0.002,0.025
4.350,0.002,0.025
4.400,0.002,0.025
4.450,0.002,0.025
4.500,0.002,0.025
4.550,0.002,0.025
4.600,0.002,0.025
4.650,0.002,0.025
4.700,0.002,0.025
4.750,0.002,0.025
4.800,0.002,0.025
4.850,0.002,0.025
4.900,0.002,0.025
4.950,0.002,0.025
5.000,0.002,0.025
5.050,0.002,0.025
5.100,0.002,0.025
5.150,0.002,0.025
5.200,0.002,0.025
5.250,0.002,0.025
5.300,0.002,0.025
5.350,0.002,0.025
5.400,0.002,0.025
5.450,0.002,0.025
5.500,0.002,0.025
5.550,0.002,0.025
5.600,0.002,0.025
5.650,0.002,0.025
5.700,0.002,0.025
5.750,0.002,0.025
5.800,0.002,0.025
5.850,0.002,0.024
5.900,0.002,0.025
5.950,0.002,0.025
6.000,0.002,0.025
6.050,0.002,0.025
6.100,0.002,0.025
6.150,0.002,0.025
6.200,0.002,0.025
6.250,0.002,0.025
6.300,0.002,0.025
6.350,0.002,0.025
6.400,0.002,0.025
6.450,0.002,0.025
6.500,0.002,0.025
6.550,0.002,0.025
6.600,0.002,0.025
6.650,0.002,0.025
6.700,0.002,0.025
6.750,0.002,0.025
6.800,0.002,0.025
6.850,0.002,0.025
6.900,0.002,0.025
6.950,0.002,0.025
7.000,0.002,0.026
7.050,0.002,0.025
7.100,0.002,0.025
7.150,0.002,0.025
7.200,0.002,0.025
7.250,0.002,0.025
7.300,0.002,0.025
7.350,0.002,0.025
7.400,0.002,0.025
7.450,0.002,0.025
7.500,0.002,0.025
7.550,0.001,0.024
7.600,0.002,0.025
7.650,0.002,0.025
7.700,0.002,0.025
7.750,0.002,0.025
7.800,0.002,0.025
7.850,0.002,0.025
7.900,0.002,0.025
7.950,0.002,0.025
8.000,0.002,0.025
8.050,0.002,0.025
8.100,0.002,0.025
8.150,0.002,0.025
8.200,0.002,0.025
8.250,0.002,0.025
8.300,0.001,0.025
8.350,0.002,0.025
8.400,0.002,0.025
8.450,0.002,0.025
8.500,0.002,0.025
8.550,0.002,0.025
8.600,0.001,0.025
8.650,0.002,0.025
8.700,0.002,0.025
8.750,0.002,0.025
8.800,0.002,0.025
8.850,0.002,0.025
8.900,0.002,0.025
8.950,0.002,0.025
9.000,0.002,0.025
9.050,0.001,0.024
9.100,0.002,0.025
9.150,0.002,0.025
9.200,0.002,0.025
9.250,0.002,0.025
9.300,0.002,0.025
9.350,0.002,0.025
9.400,0.002,0.025
9.450,0.002,0.024
9.500,0.002,0.025
9.550,0.002,0.025
9.600,0.002,0.025
9.650,0.002,0.025
9.700,0.002,0.025
9.750,0.002,0.025
9.800,0.002,0.025
9.850,0.002,0.025
9.900,0.002,0.025
9.950,0.002,0.025
10.000,0.002,0.025
10.050,0.002,0.025
10.100,0.002,0.025
10.150,0.001,0.024
10.200,0.002,0.025
10.250,0.002,0.025
10.300,0.002,0.025
10.350,0.002,0.025
10.400,0.002,0.025
10.450,0.002,0.025
10.500,0.002,0.025
10.550,0.002,0.025
10.600,0.002,0.025
10.650,0.002,0.025
10.700,0.002,0.025
10.750,0.002,0.025
10.800,0.002,0.025
10.850,0.001,0.024
10.900,0.002,0.025
10.950,0.002,0.025
11.000,0.002,0.025
11.050,0.002,0.025
11.100,0.002,0.025
11.150,0.002,0.025
11.200,0.002,0.026
11.250,0.002,0.025
11.300,0.002,0.025
11.350,0.002,0.025
11.400,0.002,0.025
11.450,0.002,0.025
11.500,0.002,0.025
11.550,0.002,0.025
