"Time (s) Messreihe #1","Voltage, Ch A (V) Messreihe #1","Voltage, Ch B (V) Messreihe #1"
0.000,-0.075,5.747E-4
0.050,-0.075,1.890E-4
0.100,-0.075,5.637E-4
0.150,-0.075,5.356E-4
0.200,-0.075,6.370E-4
0.250,-0.075,2.549E-4
0.300,-0.075,7.542E-4
0.350,-0.075,3.574E-4
0.400,-0.075,6.272E-4
0.450,-0.075,3.013E-4
0.500,-0.075,7.200E-4
0.550,-0.075,8.765E-5
0.600,-0.075,6.455E-4
0.650,-0.075,1.841E-4
0.700,-0.075,6.443E-4
0.750,-0.075,3.367E-4
0.800,-0.075,8.616E-4
0.850,-0.075,4.099E-4
0.900,-0.075,8.091E-4
0.950,-0.075,1.572E-4
1.000,-0.075,0.001
1.050,-0.075,3.245E-4
1.100,-0.075,4.063E-4
1.150,-0.075,4.929E-4
1.200,-0.075,7.493E-4
1.250,-0.075,4.917E-4
1.300,-0.075,7.114E-4
1.350,-0.075,2.573E-4
1.400,-0.075,8.311E-4
1.450,-0.075,1.853E-4
1.500,-0.075,6.235E-4
1.550,-0.075,4.429E-4
1.600,-0.075,7.236E-4
1.650,-0.075,2.427E-4
1.700,-0.075,9.128E-4
1.750,-0.075,6.602E-4
1.800,-0.075,7.676E-4
1.850,-0.075,5.039E-4
1.900,-0.075,8.384E-4
1.950,-0.075,7.297E-4
2.000,-0.075,8.237E-4
2.050,-0.075,3.879E-4
2.100,-0.075,6.980E-4
2.150,-0.075,9.131E-5
2.200,-0.075,9.507E-4
2.250,-0.075,3.574E-4
2.300,-0.075,7.590E-4
2.350,-0.075,5.039E-4
2.400,-0.075,7.102E-4
2.450,-0.075,1.951E-4
2.500,-0.075,0.001
2.550,-0.075,2.122E-4
2.600,-0.075,5.588E-4
2.650,-0.075,1.951E-4
2.700,-0.075,6.345E-4
2.750,-0.075,6.858E-4
2.800,-0.075,7.859E-4
2.850,-0.075,2.256E-4
2.900,-0.075,6.333E-4
2.950,-0.075,1.169E-4
3.000,-0.075,0.001
3.050,-0.075,2.756E-4
3.100,-0.075,5.564E-4
3.150,-0.075,2.244E-4
3.200,-0.072,6.541E-4
3.250,-0.063,6.492E-4
3.300,-0.049,0.001
3.350,-0.023,0.002
3.400,0.012,0.003
3.450,0.051,0.004
3.500,0.088,0.006
3.550,0.115,0.008
3.600,0.137,0.012
3.650,0.160,0.017
3.700,0.185,0.025
3.750,0.207,0.033
3.800,0.228,0.043
3.850,0.246,0.054
3.900,0.258,0.069
3.950,0.265,0.085
4.000,0.271,0.106
4.050,0.277,0.130
4.100,0.284,0.157
4.150,0.293,0.188
4.200,0.304,0.222
4.250,0.319,0.258
4.300,0.337,0.295
4.350,0.363,0.333
4.400,0.403,0.370
4.450,0.453,0.403
4.500,0.504,0.430
4.550,0.555,0.452
4.600,0.601,0.469
4.650,0.636,0.480
4.700,0.660,0.488
4.750,0.675,0.492
4.800,0.685,0.495
4.850,0.693,0.497
4.900,0.703,0.499
4.950,0.720,0.502
5.000,0.741,0.507
5.050,0.766,0.511
5.100,0.793,0.517
5.150,0.820,0.522
5.200,0.847,0.527
5.250,0.869,0.530
5.300,0.887,0.533
5.350,0.903,0.535
5.400,0.915,0.538
5.450,0.927,0.539
5.500,0.943,0.542
5.550,0.963,0.544
5.600,0.984,0.547
5.650,1.006,0.550
5.700,1.033,0.553
5.750,1.062,0.556
5.800,1.091,0.560
5.850,1.122,0.563
5.900,1.148,0.567
5.950,1.162,0.568
