Datum und Zeit Messreihe #1	Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Stromsonde (PS-2184), Ch A (A) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Stromsonde (PS-2184), Ch B (A) Messreihe #1
15.01.2026 14:42:50	0,000	-0,074	-0,7445	0,531	5,3132
15.01.2026 14:42:50	0,050	-0,075	-0,7476	0,532	5,3173
15.01.2026 14:42:50	0,100	-0,075	-0,7464	0,531	5,3113
15.01.2026 14:42:50	0,150	-0,075	-0,7451	0,532	5,3204
15.01.2026 14:42:50	0,200	-0,075	-0,7476	0,531	5,3117
15.01.2026 14:42:50	0,250	-0,075	-0,7470	0,532	5,3192
15.01.2026 14:42:50	0,300	-0,075	-0,7459	0,531	5,3133
15.01.2026 14:42:50	0,350	-0,075	-0,7469	0,532	5,3187
15.01.2026 14:42:50	0,400	-0,075	-0,7498	0,531	5,3086
15.01.2026 14:42:50	0,450	-0,075	-0,7489	0,532	5,3170
15.01.2026 14:42:50	0,500	-0,075	-0,7467	0,531	5,3111
15.01.2026 14:42:50	0,550	-0,075	-0,7468	0,532	5,3198
15.01.2026 14:42:50	0,600	-0,074	-0,7443	0,531	5,3147
15.01.2026 14:42:50	0,650	-0,075	-0,7481	0,532	5,3169
15.01.2026 14:42:50	0,700	-0,075	-0,7478	0,531	5,3116
15.01.2026 14:42:50	0,750	-0,075	-0,7504	0,532	5,3154
15.01.2026 14:42:50	0,800	-0,075	-0,7468	0,531	5,3115
15.01.2026 14:42:50	0,850	-0,075	-0,7471	0,532	5,3193
15.01.2026 14:42:50	0,900	-0,075	-0,7471	0,531	5,3102
15.01.2026 14:42:50	0,950	-0,075	-0,7486	0,532	5,3164
15.01.2026 14:42:51	1,000	-0,075	-0,7506	0,531	5,3081
15.01.2026 14:42:51	1,050	-0,075	-0,7472	0,532	5,3188
15.01.2026 14:42:51	1,100	-0,075	-0,7494	0,531	5,3099
15.01.2026 14:42:51	1,150	-0,075	-0,7504	0,531	5,3147
15.01.2026 14:42:51	1,200	-0,075	-0,7475	0,531	5,3117
15.01.2026 14:42:51	1,250	-0,075	-0,7497	0,532	5,3159
15.01.2026 14:42:51	1,300	-0,075	-0,7476	0,531	5,3116
15.01.2026 14:42:51	1,350	-0,075	-0,7475	0,532	5,3184
15.01.2026 14:42:51	1,400	-0,075	-0,7494	0,531	5,3096
15.01.2026 14:42:51	1,450	-0,075	-0,7489	0,532	5,3172
15.01.2026 14:42:51	1,500	-0,075	-0,7481	0,531	5,3114
15.01.2026 14:42:51	1,550	-0,075	-0,7488	0,532	5,3171
15.01.2026 14:42:51	1,600	-0,075	-0,7485	0,531	5,3108
15.01.2026 14:42:51	1,650	-0,075	-0,7481	0,532	5,3175
15.01.2026 14:42:51	1,700	-0,075	-0,7462	0,531	5,3134
15.01.2026 14:42:51	1,750	-0,075	-0,7464	0,532	5,3195
15.01.2026 14:42:51	1,800	-0,075	-0,7506	0,531	5,3083
15.01.2026 14:42:51	1,850	-0,075	-0,7493	0,532	5,3172
15.01.2026 14:42:51	1,900	-0,075	-0,7484	0,531	5,3112
15.01.2026 14:42:51	1,950	-0,075	-0,7452	0,532	5,3201
15.01.2026 14:42:52	2,000	-0,075	-0,7500	0,531	5,3094
15.01.2026 14:42:52	2,050	-0,075	-0,7453	0,532	5,3213
15.01.2026 14:42:52	2,100	-0,075	-0,7462	0,531	5,3138
15.01.2026 14:42:52	2,150	-0,075	-0,7474	0,532	5,3189
15.01.2026 14:42:52	2,200	-0,075	-0,7481	0,531	5,3114
15.01.2026 14:42:52	2,250	-0,075	-0,7467	0,532	5,3180
15.01.2026 14:42:52	2,300	-0,075	-0,7484	0,531	5,3119
15.01.2026 14:42:52	2,350	-0,075	-0,7480	0,532	5,3179
15.01.2026 14:42:52	2,400	-0,075	-0,7480	0,531	5,3113
15.01.2026 14:42:52	2,450	-0,075	-0,7503	0,532	5,3156
15.01.2026 14:42:52	2,500	-0,075	-0,7504	0,531	5,3103
15.01.2026 14:42:52	2,550	-0,075	-0,7496	0,532	5,3178
15.01.2026 14:42:52	2,600	-0,075	-0,7465	0,531	5,3136
15.01.2026 14:42:52	2,650	-0,075	-0,7476	0,532	5,3187
15.01.2026 14:42:52	2,700	-0,075	-0,7519	0,531	5,3081
15.01.2026 14:42:52	2,750	-0,074	-0,7429	0,532	5,3200
15.01.2026 14:42:52	2,800	-0,072	-0,7206	0,531	5,3108
15.01.2026 14:42:52	2,850	-0,067	-0,6696	0,532	5,3160
15.01.2026 14:42:52	2,900	-0,058	-0,5753	0,531	5,3133
15.01.2026 14:42:52	2,950	-0,041	-0,4138	0,532	5,3187
15.01.2026 14:42:53	3,000	-0,023	-0,2313	0,531	5,3126
15.01.2026 14:42:53	3,050	-0,007	-0,0653	0,532	5,3168
15.01.2026 14:42:53	3,100	0,006	0,0552	0,531	5,3101
15.01.2026 14:42:53	3,150	0,023	0,2308	0,532	5,3162
15.01.2026 14:42:53	3,200	0,044	0,4384	0,531	5,3112
15.01.2026 14:42:53	3,250	0,057	0,5729	0,532	5,3170
15.01.2026 14:42:53	3,300	0,074	0,7369	0,531	5,3088
15.01.2026 14:42:53	3,350	0,095	0,9467	0,532	5,3169
15.01.2026 14:42:53	3,400	0,107	1,0734	0,531	5,3108
15.01.2026 14:42:53	3,450	0,117	1,1700	0,532	5,3195
15.01.2026 14:42:53	3,500	0,127	1,2664	0,531	5,3088
15.01.2026 14:42:53	3,550	0,139	1,3889	0,532	5,3161
15.01.2026 14:42:53	3,600	0,148	1,4830	0,531	5,3106
15.01.2026 14:42:53	3,650	0,161	1,6120	0,532	5,3203
15.01.2026 14:42:53	3,700	0,174	1,7393	0,531	5,3094
15.01.2026 14:42:53	3,750	0,189	1,8906	0,532	5,3171
15.01.2026 14:42:53	3,800	0,204	2,0411	0,531	5,3106
15.01.2026 14:42:53	3,850	0,220	2,1999	0,532	5,3197
15.01.2026 14:42:53	3,900	0,231	2,3120	0,531	5,3086
15.01.2026 14:42:53	3,950	0,245	2,4484	0,532	5,3180
15.01.2026 14:42:54	4,000	0,257	2,5706	0,531	5,3108
15.01.2026 14:42:54	4,050	0,276	2,7556	0,532	5,3175
15.01.2026 14:42:54	4,100	0,293	2,9265	0,531	5,3120
15.01.2026 14:42:54	4,150	0,309	3,0871	0,532	5,3172
15.01.2026 14:42:54	4,200	0,323	3,2305	0,531	5,3114
15.01.2026 14:42:54	4,250	0,337	3,3694	0,532	5,3183
15.01.2026 14:42:54	4,300	0,350	3,4987	0,531	5,3116
15.01.2026 14:42:54	4,350	0,366	3,6584	0,532	5,3177
15.01.2026 14:42:54	4,400	0,386	3,8626	0,531	5,3145
15.01.2026 14:42:54	4,450	0,403	4,0310	0,532	5,3193
15.01.2026 14:42:54	4,500	0,417	4,1733	0,531	5,3123
15.01.2026 14:42:54	4,550	0,435	4,3505	0,532	5,3211
15.01.2026 14:42:54	4,600	0,452	4,5223	0,531	5,3144
15.01.2026 14:42:54	4,650	0,468	4,6826	0,532	5,3200
15.01.2026 14:42:54	4,700	0,478	4,7843	0,531	5,3137
15.01.2026 14:42:54	4,750	0,491	4,9103	0,532	5,3218
15.01.2026 14:42:54	4,800	0,506	5,0550	0,532	5,3154
15.01.2026 14:42:54	4,850	0,515	5,1500	0,532	5,3208
15.01.2026 14:42:54	4,900	0,519	5,1883	0,531	5,3140
15.01.2026 14:42:54	4,950	0,522	5,2153	0,532	5,3175
15.01.2026 14:42:55	5,000	0,521	5,2094	0,531	5,3133
15.01.2026 14:42:55	5,050	0,507	5,0730	0,532	5,3197
15.01.2026 14:42:55	5,100	0,489	4,8931	0,531	5,3081
15.01.2026 14:42:55	5,150	0,481	4,8126	0,532	5,3205
15.01.2026 14:42:55	5,200	0,476	4,7617	0,532	5,3150
15.01.2026 14:42:55	5,250	0,474	4,7446	0,532	5,3226
15.01.2026 14:42:55	5,300	0,472	4,7206	0,531	5,3106
15.01.2026 14:42:55	5,350	0,472	4,7236	0,532	5,3205
15.01.2026 14:42:55	5,400	0,471	4,7143	0,531	5,3144
15.01.2026 14:42:55	5,450	0,472	4,7180	0,532	5,3198
15.01.2026 14:42:55	5,500	0,471	4,7110	0,531	5,3127
15.01.2026 14:42:55	5,550	0,472	4,7185	0,532	5,3210
15.01.2026 14:42:55	5,600	0,471	4,7113	0,531	5,3135
15.01.2026 14:42:55	5,650	0,472	4,7170	0,532	5,3214
15.01.2026 14:42:55	5,700	0,473	4,7308	0,531	5,3123
15.01.2026 14:42:55	5,750	0,481	4,8088	0,532	5,3191
15.01.2026 14:42:55	5,800	0,484	4,8437	0,531	5,3126
15.01.2026 14:42:55	5,850	0,487	4,8683	0,532	5,3170
15.01.2026 14:42:55	5,900	0,488	4,8760	0,531	5,3135
