Datum und Zeit Messreihe #1	Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Stromsonde (PS-2184), Ch A (A) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Stromsonde (PS-2184), Ch B (A) Messreihe #1
15.01.2026 15:00:00	0,000	0,069	0,6876	0,032	0,3164
15.01.2026 15:00:00	0,050	0,069	0,6935	0,032	0,3201
15.01.2026 15:00:00	0,100	0,069	0,6903	0,031	0,3119
15.01.2026 15:00:00	0,150	0,070	0,6966	0,032	0,3193
15.01.2026 15:00:00	0,200	0,069	0,6933	0,031	0,3132
15.01.2026 15:00:00	0,250	0,070	0,7027	0,032	0,3212
15.01.2026 15:00:00	0,300	0,070	0,7038	0,032	0,3153
15.01.2026 15:00:00	0,350	0,072	0,7152	0,032	0,3208
15.01.2026 15:00:00	0,400	0,073	0,7331	0,031	0,3146
15.01.2026 15:00:00	0,450	0,076	0,7589	0,032	0,3219
15.01.2026 15:00:00	0,500	0,078	0,7845	0,032	0,3162
15.01.2026 15:00:00	0,550	0,081	0,8119	0,032	0,3210
15.01.2026 15:00:00	0,600	0,082	0,8237	0,032	0,3160
15.01.2026 15:00:00	0,650	0,084	0,8400	0,032	0,3207
15.01.2026 15:00:00	0,700	0,085	0,8549	0,032	0,3154
15.01.2026 15:00:00	0,750	0,092	0,9181	0,032	0,3204
15.01.2026 15:00:00	0,800	0,101	1,0058	0,032	0,3159
15.01.2026 15:00:00	0,850	0,111	1,1143	0,032	0,3223
15.01.2026 15:00:00	0,900	0,116	1,1639	0,032	0,3173
15.01.2026 15:00:00	0,950	0,123	1,2264	0,032	0,3204
15.01.2026 15:00:01	1,000	0,131	1,3088	0,032	0,3169
15.01.2026 15:00:01	1,050	0,140	1,4047	0,032	0,3201
15.01.2026 15:00:01	1,100	0,165	1,6459	0,031	0,3148
15.01.2026 15:00:01	1,150	0,193	1,9335	0,032	0,3228
15.01.2026 15:00:01	1,200	0,210	2,0960	0,032	0,3154
15.01.2026 15:00:01	1,250	0,218	2,1839	0,032	0,3233
15.01.2026 15:00:01	1,300	0,222	2,2211	0,032	0,3167
15.01.2026 15:00:01	1,350	0,224	2,2445	0,032	0,3221
15.01.2026 15:00:01	1,400	0,225	2,2523	0,032	0,3163
15.01.2026 15:00:01	1,450	0,227	2,2729	0,032	0,3246
15.01.2026 15:00:01	1,500	0,234	2,3365	0,032	0,3163
15.01.2026 15:00:01	1,550	0,239	2,3921	0,032	0,3221
15.01.2026 15:00:01	1,600	0,241	2,4147	0,032	0,3152
15.01.2026 15:00:01	1,650	0,247	2,4732	0,033	0,3251
15.01.2026 15:00:01	1,700	0,255	2,5468	0,032	0,3209
15.01.2026 15:00:01	1,750	0,263	2,6292	0,032	0,3226
15.01.2026 15:00:01	1,800	0,271	2,7123	0,032	0,3180
15.01.2026 15:00:01	1,850	0,281	2,8114	0,032	0,3235
15.01.2026 15:00:01	1,900	0,292	2,9188	0,032	0,3169
15.01.2026 15:00:01	1,950	0,308	3,0802	0,032	0,3233
15.01.2026 15:00:02	2,000	0,320	3,1961	0,031	0,3146
15.01.2026 15:00:02	2,050	0,326	3,2637	0,032	0,3228
15.01.2026 15:00:02	2,100	0,330	3,2963	0,032	0,3191
15.01.2026 15:00:02	2,150	0,332	3,3186	0,033	0,3251
15.01.2026 15:00:02	2,200	0,335	3,3502	0,032	0,3175
15.01.2026 15:00:02	2,250	0,343	3,4307	0,033	0,3261
15.01.2026 15:00:02	2,300	0,351	3,5081	0,032	0,3155
15.01.2026 15:00:02	2,350	0,360	3,5990	0,033	0,3269
15.01.2026 15:00:02	2,400	0,369	3,6935	0,032	0,3178
15.01.2026 15:00:02	2,450	0,378	3,7801	0,032	0,3248
15.01.2026 15:00:02	2,500	0,382	3,8188	0,032	0,3184
15.01.2026 15:00:02	2,550	0,387	3,8681	0,032	0,3241
15.01.2026 15:00:02	2,600	0,394	3,9377	0,032	0,3189
15.01.2026 15:00:02	2,650	0,399	3,9894	0,033	0,3251
15.01.2026 15:00:02	2,700	0,406	4,0632	0,032	0,3156
