Datum und Zeit Messreihe #1	Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Stromsonde (PS-2184), Ch A (A) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Stromsonde (PS-2184), Ch B (A) Messreihe #1
15.01.2026 17:35:31	0,000	-3,937E-4	-0,0039	-0,001	-0,0139
15.01.2026 17:35:31	0,050	-4,303E-4	-0,0043	-0,002	-0,0175
15.01.2026 17:35:31	0,100	-1,654E-4	-0,0017	-0,001	-0,0115
15.01.2026 17:35:31	0,150	-2,167E-4	-0,0022	-0,002	-0,0160
15.01.2026 17:35:31	0,200	-3,180E-4	-0,0032	-0,001	-0,0118
15.01.2026 17:35:31	0,250	-1,947E-4	-0,0019	-0,002	-0,0158
15.01.2026 17:35:31	0,300	-7,507E-5	-7,5073E-4	-0,001	-0,0106
15.01.2026 17:35:31	0,350	-5,951E-4	-0,0060	-0,002	-0,0187
15.01.2026 17:35:31	0,400	3,082E-4	0,0031	-0,001	-0,0140
15.01.2026 17:35:31	0,450	0,012	0,1190	-0,002	-0,0177
15.01.2026 17:35:31	0,500	0,013	0,1308	-0,002	-0,0154
15.01.2026 17:35:31	0,550	0,012	0,1179	-0,002	-0,0187
15.01.2026 17:35:31	0,600	0,012	0,1202	-0,001	-0,0116
15.01.2026 17:35:31	0,650	0,012	0,1177	-0,002	-0,0189
15.01.2026 17:35:31	0,700	0,012	0,1181	-0,001	-0,0148
15.01.2026 17:35:31	0,750	0,012	0,1200	-0,002	-0,0212
15.01.2026 17:35:31	0,800	0,013	0,1313	-0,002	-0,0159
15.01.2026 17:35:31	0,850	0,014	0,1377	-0,002	-0,0195
15.01.2026 17:35:31	0,900	0,018	0,1784	-0,001	-0,0144
15.01.2026 17:35:31	0,950	0,016	0,1598	-0,002	-0,0188
15.01.2026 17:35:32	1,000	0,015	0,1450	-0,001	-0,0136
15.01.2026 17:35:32	1,050	0,017	0,1712	-0,002	-0,0197
15.01.2026 17:35:32	1,100	0,016	0,1570	-0,001	-0,0145
15.01.2026 17:35:32	1,150	0,015	0,1452	-0,002	-0,0176
15.01.2026 17:35:32	1,200	0,014	0,1390	-0,002	-0,0162
15.01.2026 17:35:32	1,250	0,014	0,1382	-0,002	-0,0193
15.01.2026 17:35:32	1,300	0,015	0,1509	-0,001	-0,0125
15.01.2026 17:35:32	1,350	0,022	0,2204	-0,002	-0,0198
15.01.2026 17:35:32	1,400	0,044	0,4361	-8,682E-4	-0,0087
15.01.2026 17:35:32	1,450	0,048	0,4799	-0,002	-0,0163
15.01.2026 17:35:32	1,500	0,047	0,4735	-0,001	-0,0140
15.01.2026 17:35:32	1,550	0,046	0,4587	-0,002	-0,0169
15.01.2026 17:35:32	1,600	0,040	0,3952	-0,001	-0,0133
15.01.2026 17:35:32	1,650	0,035	0,3549	-0,002	-0,0192
15.01.2026 17:35:32	1,700	0,035	0,3455	-0,001	-0,0103
15.01.2026 17:35:32	1,750	0,034	0,3407	-0,002	-0,0193
15.01.2026 17:35:32	1,800	0,034	0,3425	-0,001	-0,0127
15.01.2026 17:35:32	1,850	0,034	0,3435	-0,002	-0,0165
15.01.2026 17:35:32	1,900	0,030	0,3003	-0,001	-0,0147
15.01.2026 17:35:32	1,950	0,026	0,2555	-0,002	-0,0172
15.01.2026 17:35:33	2,000	0,020	0,1993	-0,001	-0,0138
15.01.2026 17:35:33	2,050	0,015	0,1477	-0,002	-0,0197
15.01.2026 17:35:33	2,100	0,009	0,0902	-0,001	-0,0127
15.01.2026 17:35:33	2,150	0,003	0,0331	-0,002	-0,0184
15.01.2026 17:35:33	2,200	0,002	0,0161	-0,001	-0,0117
15.01.2026 17:35:33	2,250	0,001	0,0115	-0,002	-0,0182
15.01.2026 17:35:33	2,300	1,178E-4	0,0012	-0,001	-0,0118
15.01.2026 17:35:33	2,350	6,287E-5	6,2866E-4	-0,002	-0,0163
15.01.2026 17:35:33	2,400	-2,411E-4	-0,0024	-0,001	-0,0113
15.01.2026 17:35:33	2,450	1,678E-4	0,0017	-0,001	-0,0148
15.01.2026 17:35:33	2,500	5,609E-4	0,0056	-0,001	-0,0118
15.01.2026 17:35:33	2,550	0,001	0,0108	-0,002	-0,0181
15.01.2026 17:35:33	2,600	0,001	0,0111	-0,001	-0,0113
15.01.2026 17:35:33	2,650	0,002	0,0160	-0,001	-0,0149
15.01.2026 17:35:33	2,700	0,002	0,0154	-0,001	-0,0106
15.01.2026 17:35:33	2,750	0,001	0,0138	-0,002	-0,0177
15.01.2026 17:35:33	2,800	0,001	0,0141	-0,001	-0,0117
15.01.2026 17:35:33	2,850	0,001	0,0122	-0,002	-0,0184
15.01.2026 17:35:33	2,900	0,001	0,0134	-9,915E-4	-0,0099
15.01.2026 17:35:33	2,950	0,002	0,0155	-0,001	-0,0149
15.01.2026 17:35:34	3,000	0,001	0,0144	-9,927E-4	-0,0099
15.01.2026 17:35:34	3,050	0,001	0,0141	-0,002	-0,0160
15.01.2026 17:35:34	3,100	0,001	0,0128	-0,001	-0,0116
15.01.2026 17:35:34	3,150	0,001	0,0130	-0,002	-0,0175
15.01.2026 17:35:34	3,200	0,001	0,0112	-0,001	-0,0117
15.01.2026 17:35:34	3,250	0,001	0,0126	-0,002	-0,0176
15.01.2026 17:35:34	3,300	0,002	0,0199	-0,001	-0,0123
15.01.2026 17:35:34	3,350	0,004	0,0444	-0,002	-0,0174
15.01.2026 17:35:34	3,400	0,005	0,0487	-0,001	-0,0114
